accidentDate;accidentTime;accidentDay;settlementType;settlement;district;streetType;streetName;houseNumber;locationComments;accidentType;mainAccidentCause;totalParticipantsAmount;injuryStatusParticipant1;injuryStatusParticipant2;injuryStatusParticipant3;injuryStatusParticipant4;injuryStatusParticipant5;injuryStatusParticipant6;latitude;longitude
2023-08-10;8:50:00;четвер;місто;Львів;Франківський;вулиця;Княгині Ольги;114;null;зіткнення з задньою частиною тз;перевищення безпечної швидкості, недодержання дистанції;2;без ушкоджень;легко травмований;null;null;null;null;49.806367;23.998598
2023-08-04;12:56:00;п'ятниця;місто;Львів;Франківський;вулиця;Наукова;12;null;зіткнення лобове;порушення правил маневрування;2;легко травмований;легко травмований;null;null;null;null;49.803586;24.002138
2023-10-09;8:20:00;понеділок;місто;Львів;Залізничний;вулиця;Городоцька;56;null;наїзд на пішохода - на нерегульованому пішохідному переході;невиконання вимог сигналів регулювання;2;без ушкоджень;легко травмований;null;null;null;null;49.839737;24.010915
2023-10-09;17:40:00;понеділок;село;Зашків;Шевченківський;вулиця;о. Мармаша;null;null;наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці;перевищення безпечної швидкості;2;без ушкоджень;легко травмований;null;null;null;null;49.952721;23.996990
2023-10-26;11:50:00;четвер;місто;Львів;Залізничний;вулиця;Городоцька;112;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.836896;23.996667
2023-10-11;19:45:00;середа;місто;Львів;Галицький;вулиця;Кривоноса М.;29;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.846527;24.04124
2023-10-28;23:36:00;субота;місто;Львів;Шевченківський;вулиця;Миколайчука І.;null;вул. Миколайчука І. - вул. Мазепи І., гетьм;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.872271;24.042404
2023-10-05;9:50:00;четвер;місто;Львів;Сихівський;вулиця;Стуса В.;4;null;зіткнення з задньою частиною тз;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.822006;24.0391
2023-10-12;13:45:00;четвер;місто;Львів;Личаківський;вулиця;Пекарська;55;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.837533;24.045473
2023-10-05;14:12:00;четвер;місто;Львів;Франківський;вулиця;Наукова;null;null;падіння пасажира;порушення правил маневрування;1;легко травмований;null;null;null;null;null;49.80387221608627;24.00023691250981
